docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-C-0000008228,Medianieuws uit de vrijdagse kranten (update 11.00)," En draait de mediacarrousel te",ver door de bocht," met zijn licht verteerbare verkiezingsshows",ver door de bocht,"ADJ(vrij,basis,zonder) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",ADJ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.44.w.6 p.1.s.44.w.7 p.1.s.44.w.8 p.1.s.44.w.9,"   ","   "
WR-P-E-C-0000013257,De Brugse Top Veertig van deze week," 28 * 29 36 THE",SHORTS Door de bocht," 3 29 * 30 --",SHORTS door de bocht,"SPEC(deeleigen) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",SPEC VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.6.w.12 p.2.s.6.w.13 p.2.s.6.w.14 p.2.s.6.w.15,"   ","   "
WR-P-E-G-0000011486,Jeepers creepers," voor dit . Trisha Jenner",", door de bocht"," . Dank je wel .",", door de bocht","LET() VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",LET VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.253.s.1.w.3 p.253.s.1.w.4 p.253.s.1.w.5 p.253.s.1.w.6,"   ","   "
WR-P-E-G-0000008350,Subtitles for Vrolijk Vlaanderen (132) - Op wi," is Armee die daar als",eerste door de bocht," komt . Verstaan ze mekaar",eerst door de bocht,"TW(rang,nom,zonder-n) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",TW VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.291.s.1.w.8 p.291.s.1.w.9 p.291.s.1.w.10 p.291.s.1.w.11,"   ","   "
WR-P-E-G-0000000231,Subtitles for Brussel Nieuwsstraat III (11)," veel . Je vlamt daarmee",niet door de bochten," . Bochten ? Pardon ?",niet door de bocht,"BW() VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",BW VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.103.s.1.w.4 p.103.s.1.w.5 p.103.s.1.w.6 p.103.s.1.w.7,"   ","   "
WR-P-E-G-0000009254,Subtitles for Kokteel 13," snelheden . En je kan",ze door de bochten," laten scheuren zonder rijbewijs .",ze door de bocht,"VNW(pers,pron,stan,red,3,mv) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",VNW VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.36.s.1.w.4 p.36.s.1.w.5 p.36.s.1.w.6 p.36.s.1.w.7,"   ","   "
WR-P-E-G-0000009254,Subtitles for Kokteel 13," afstellen . Je kan hem",agressiever door de bochten," laten gaan . Robin ,",agressief door de bocht,"ADJ(vrij,comp,zonder) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",ADJ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.46.s.1.w.4 p.46.s.1.w.5 p.46.s.1.w.6 p.46.s.1.w.7,"   ","   "
WR-P-E-A-0000851636,Dames moeten voortaan ook aan de stang:," zou teveel zwabberen en niet",veilig door de bochten," kunnen. een speciale EU-comissie die",veilig door de bocht,"ADJ(vrij,basis,zonder) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",ADJ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.8 p.2.s.1.w.9 p.2.s.1.w.10 p.2.s.1.w.11,"   ","   "
WR-P-E-A-0004308591,Tatiana," ook denk ik iets te",snel door de bocht," . Er mag / moet",snel door de bocht,"ADJ(vrij,basis,zonder) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",ADJ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.8 p.2.s.1.w.9 p.2.s.1.w.10 p.2.s.1.w.11,"   ","   "
WR-P-E-A-0000139287,Re: In welke sport zou jij willen schitteren?," ... Zo tegen 300km /",u door de bochtjes," : D ",u door de bocht,"VNW(pers,pron,nomin,vol,2b,getal) VZ(init) LID(bep,stan,rest) N(soort,mv,dim)",VNW VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.5 p.2.s.1.w.6 p.2.s.1.w.7 p.2.s.1.w.8,"   ","   "
WR-P-E-A-0005715486,Veel praten," ze beter of minder goed",mee door de bocht," kan ( wie heeft dat",mee door de bocht,"VZ(fin) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",VZ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.1.w.18 p.4.s.1.w.19 p.4.s.1.w.20 p.4.s.1.w.21,"   ","   "
WR-P-E-A-0006415666,20 jaar geleden?," kantelde toen we iets te",wild door een bocht," gingen .... Dat vergeet ik",wild door een bocht,"ADJ(vrij,basis,zonder) VZ(init) LID(onbep,stan,agr) N(soort,ev,basis,zijd,stan)",ADJ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.32 p.2.s.1.w.33 p.2.s.1.w.34 p.2.s.1.w.35,"   ","   "
WR-P-E-G-0000003883,Subtitles for De Leukste Eeuw - Walter Baele (," niet aan 100 km /",h door de bochten," . De bochten ? Pardon",h door de bocht,"SPEC(symb) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",SPEC VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.78.s.1.w.9 p.78.s.1.w.10 p.78.s.1.w.11 p.78.s.1.w.12,"   ","   "
WR-P-E-G-0000011487,Jeepers creepers," voor dit . Trisha Jenner",", door de bocht"," . Dank je wel .",", door de bocht","LET() VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",LET VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.252.s.1.w.3 p.252.s.1.w.4 p.252.s.1.w.5 p.252.s.1.w.6,"   ","   "
WR-P-E-G-0000004787,Subtitles for Dieren in nesten V (2)," met zo'n vracht scheur je",niet door de bochten," . Het wordt vijf uur",niet door de bocht,"BW() VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",BW VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.276.s.1.w.7 p.276.s.1.w.8 p.276.s.1.w.9 p.276.s.1.w.10,"   ","   "
WR-P-E-A-0005347301,Kort door de bocht en langer door de bocht,Kort door de bocht en,langer door de bocht," Het kort door de bocht",lang door de bocht,"ADJ(vrij,comp,zonder) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",ADJ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",head.1.s.1.w.6 head.1.s.1.w.7 head.1.s.1.w.8 head.1.s.1.w.9,"   ","   "
WR-P-E-A-0000576642,Waar kies jij voor?," ook hier ga je weer",ferm door de bocht," . Het origineel van Dylan",ferm door de bocht,"ADJ(nom,basis,zonder,zonder-n) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",ADJ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.15 p.1.s.1.w.16 p.1.s.1.w.17 p.1.s.1.w.18,"   ","   "
