docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-G-0000010968,Rock star," lzzy krijg , doe ik",het in m'n broek," . Dat zal vast wel",het in mijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,1,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.491.s.1.w.8 p.491.s.1.w.9 p.491.s.1.w.10 p.491.s.1.w.11,"   ","   "
WR-P-E-G-0000011190,Shade," je ballen plat tot je",het in je broek," doet . Waar zijn ze",het in je broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,2v,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.853.s.1.w.8 p.853.s.1.w.9 p.853.s.1.w.10 p.853.s.1.w.11,"   ","   "
WR-P-E-G-0000011274,Fucking ml," de wc ? Ik doe",het in m'n broek," . Ok ? . Dank",het in mijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,1,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.331.s.2.w.3 p.331.s.2.w.4 p.331.s.2.w.5 p.331.s.2.w.6,"   ","   "
WR-P-E-G-0000006344,Subtitles for Flikken (III) 10- wapenbezit," moesten overwerken . Omdat je",'t in je broek," deed . Vanavond ga ik",het in je broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,2v,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.85.s.1.w.3 p.85.s.1.w.4 p.85.s.1.w.5 p.85.s.1.w.6,"   ","   "
WR-P-E-G-0000011109,The matador," dat ik nu herinner dat",het in m'n broek," zat . Goed . Ik",het in mijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,1,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.230.s.1.w.7 p.230.s.1.w.8 p.230.s.1.w.9 p.230.s.1.w.10,"   ","   "
WR-P-E-G-0000003436,Subtitles for De Leukste Eeuw: Lachen in 2002(," me vaak af of ik",het in m'n broek," deed . De grote Ben",het in mijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,1,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.633.s.2.w.8 p.633.s.2.w.9 p.633.s.2.w.10 p.633.s.2.w.11,"   ","   "
WR-P-E-G-0000011081,In good company," jong . En hij doet",het in zijn broek," . Goede geheugen . Je",het in zijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.587.s.1.w.4 p.587.s.1.w.5 p.587.s.1.w.6 p.587.s.1.w.7,"   ","   "
WR-P-E-G-0000010846,Madagascar," op ! - Ik doe",'t in m'n broek," ! Vrees mij ! Ik",het in mijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,1,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1047.s.2.w.4 p.1047.s.2.w.5 p.1047.s.2.w.6 p.1047.s.2.w.7,"   ","   "
WR-P-E-G-0000011145,American history x," "" ? - Sweeney deed",het in z'n broek," . - Echt , man",het in zijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,red,3,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.405.s.1.w.4 p.405.s.1.w.5 p.405.s.1.w.6 p.405.s.1.w.7,"   ","   "
WR-P-E-G-0000011278,Two hands," stuk sneller . Phil deed",het in zijn broek," . Daarna is ie vertrokken",het in zijn broek,"VNW(pers,pron,stan,red,3,ev,onz) VZ(init) VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VNW VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.530.s.1.w.3 p.530.s.1.w.4 p.530.s.1.w.5 p.530.s.1.w.6,"   ","   "
