docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-G-0000010637,The crusaders," ? - Altijd , een",oogje in het zeil," houden . We willen geen",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.316.s.2.w.5 p.316.s.2.w.6 p.316.s.2.w.7 p.316.s.2.w.8,"   ","   "
WR-P-E-G-0000002448,Subtitles for Vlaanderen Vakantieland 05/01," bij de fabriek om een",oogje in het zeil," te kunnen houden . Ze",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.44.s.1.w.12 p.44.s.1.w.13 p.44.s.1.w.14 p.44.s.1.w.15,"   ","   "
WR-P-E-G-0000005409,Subtitles for Kampioenen 182 (Quix)," ... Pol kan ook een",oogje in het zeil," houden . Wel ja ,",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.61.s.1.w.9 p.61.s.1.w.10 p.61.s.1.w.11 p.61.s.1.w.12,"   ","   "
WR-P-E-C-0000000112,Unspecified," Revisor , Maatstaf , Het",Oog in 't Zeil," , Lexicon van Literaire Werken",Oog in 't zeil,"SPEC(deeleigen) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",SPEC VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.98.s.2.w.21 p.98.s.2.w.22 p.98.s.2.w.23 p.98.s.2.w.24,"   ","   "
WR-P-E-G-0000005331,Subtitles for Kapitein Zepppos II - De Eglanti," gaat u doen ? Een",oogje in het zeil," houden . Clovis ? Ja",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.95.s.1.w.2 p.95.s.1.w.3 p.95.s.1.w.4 p.95.s.1.w.5,"   ","   "
WR-P-E-G-0000011281,The virgin suicides," . Ik kan toch 'n",oogje in 't zeil," houden ? - Mam ,",oog in 't zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.342.s.1.w.5 p.342.s.1.w.6 p.342.s.1.w.7 p.342.s.1.w.8,"   ","   "
WR-P-E-G-0000008685,Subtitles for," dat jullie ... een extra",oogje in het zeil," houden . Als het kalf",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.107.s.1.w.7 p.107.s.1.w.8 p.107.s.1.w.9 p.107.s.1.w.10,"   ","   "
WR-P-E-G-0000002904,Subtitles for MG zomer 2001 - Ik trap het af," echt zo gaan ... Een",oogje in het zeil," houden . Voor een familielid",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.225.s.1.w.7 p.225.s.1.w.8 p.225.s.1.w.9 p.225.s.1.w.10,"   ","   "
WR-P-E-G-0000002368,Subtitles for Thuis 941," Dan kan je ook een",oogje in het zeil," houden . 't Is allemaal",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.426.s.1.w.6 p.426.s.1.w.7 p.426.s.1.w.8 p.426.s.1.w.9,"   ","   "
WR-P-E-G-0000004824,Subtitles for Vlaanderen vakantieland 45/03 (3," die wachttoren hielden eunuchen een",oogje in het zeil," . Maar na al dat",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.387.s.1.w.8 p.387.s.1.w.9 p.387.s.1.w.10 p.387.s.1.w.11,"   ","   "
WR-P-E-G-0000009122,Subtitles for Quix V 7," op bus en tram een",oogje in het zeil," houden ? Mooie woorden .",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.316.s.1.w.15 p.316.s.1.w.16 p.316.s.1.w.17 p.316.s.1.w.18,"   ","   "
WR-P-E-G-0000011404,Paparazzi," heeft me gestuurd om een",oogje in het zeil," te houden . Ik ben",oog in het zeil,"N(soort,ev,dim,onz,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,basis,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.319.s.1.w.8 p.319.s.1.w.9 p.319.s.1.w.10 p.319.s.1.w.11,"   ","   "
