docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-G-0000000195,Subtitles for De Leukste Eeuw (52)," de toog met een stuk",in hun kraag," . Allez ! GELACH Zit",in hun kraag,"VZ(init) VNW(bez,det,stan,vol,3,mv,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.123.s.1.w.9 p.123.s.1.w.10 p.123.s.1.w.11,"  ","  "
WR-P-E-G-0000011107,Just like heaven," hebben een ambulance nodig .",In zijn kraag," ... - Ademt hij ?",in zijn kraag,"VZ(init) VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.635.s.1.w.1 p.635.s.1.w.2 p.635.s.1.w.3,"  ","  "
WR-P-E-G-0000003935,Subtitles for Groot Licht III (18) - Slaan," . Iemand had een lucifer",in mijn kraag," gegooid . Ik heb op",in mijn kraag,"VZ(init) VNW(bez,det,stan,vol,1,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.42.s.1.w.5 p.42.s.1.w.6 p.42.s.1.w.7,"  ","  "
WR-P-E-G-0000004134,Subtitles for Rare Streken - Het spoor van de," krijgt de kat een zendertje",in zijn kraag," . Zo kan Ruth zijn",in zijn kraag,"VZ(init) VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.212.s.1.w.7 p.212.s.1.w.8 p.212.s.1.w.9,"  ","  "
WR-P-E-G-0000007011,Subtitles for Thuis 1689," ga deze nacht een stuk",in mijn kraag," drinken .. .. dat ik",in mijn kraag,"VZ(init) VNW(bez,det,stan,vol,1,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.361.s.1.w.7 p.361.s.1.w.8 p.361.s.1.w.9,"  ","  "
WR-P-E-G-0000009722,Subtitles for Nat Geographic - In het spoor va," krijgt de kat een zendertje",in zijn kraag," . Zo kan Ruth zijn",in zijn kraag,"VZ(init) VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.186.s.1.w.7 p.186.s.1.w.8 p.186.s.1.w.9,"  ","  "
WR-P-E-A-0000459191,Lier: geen stof voor herhaling!," heb je weer een stuk",in je kraag," , het gaat weer goed",in je kraag,"VZ(init) VNW(bez,det,stan,red,2v,ev,prenom,zonder,agr) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.11.s.1.w.7 p.11.s.1.w.8 p.11.s.1.w.9,"  ","  "
WR-P-E-A-0000855130,"Logevent De Gucht : ""Vlaanderen zal Brussel niet hebben"""," ulder mee convikse n stuk",in ulder kraag," drinken Da nie en is",in ulder kraag,"VZ(init) VNW(bez,det,dial) N(soort,ev,basis,zijd,stan)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.26.s.1.w.12 p.26.s.1.w.13 p.26.s.1.w.14,"  ","  "
WR-P-E-A-0000585941,Koningin welkom als staatshoofd?," , waarbij het tientallen Nigerianen",in de kraag," vatte die vanuit internetcafés hun",in de kraag,"VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.6.s.3.w.16 p.6.s.3.w.17 p.6.s.3.w.18,"  ","  "
WR-P-E-A-0000011991,Game piraat krijgt 4jaar cel," werd ook de bekende DrinkOrDie-piratengroep",in de kraag," gevat . Razor1911 had een",in de kraag,"VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.3.s.3.w.8 p.3.s.3.w.9 p.3.s.3.w.10,"  ","  "
