docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-A-0000469544,Slechte opvoeding volgens het VB ...," worden op een Chinese China",Hond in de pot," Om de 4 weken zal",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.27.s.1.w.1 p.27.s.1.w.2 p.27.s.1.w.3 p.27.s.1.w.4,"   ","   "
WR-P-E-A-0000469543,Slechte opvoeding volgens het VB ...," worden op een Chinese China",Hond in de pot," Om de 4 weken zal",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.14.s.1.w.1 p.14.s.1.w.2 p.14.s.1.w.3 p.14.s.1.w.4,"   ","   "
WR-P-E-A-0000555949,Honden (voormalige huisdieren) slachten in China," ? Ooit wel eens de",hond in de pot," gevonden . Mijn fout .",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.5 p.2.s.1.w.6 p.2.s.1.w.7 p.2.s.1.w.8,"   ","   "
WR-P-E-A-0004428061,Algemeen en bijzonder," niet is , vindt de",hond in de pot," ( geldt ook voor mij",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.3.w.8 p.4.s.3.w.9 p.4.s.3.w.10 p.4.s.3.w.11,"   ","   "
WR-P-E-L-0000000232,Unspecified," Emmeloord ! @menonweb WOEF !",Hond in de pot," ! @menonweb De kust is",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.2092.s.2.w.1 text.1.event.2092.s.2.w.2 text.1.event.2092.s.2.w.3 text.1.event.2092.s.2.w.4,"   ","   "
WR-P-E-L-0000000525,Unspecified," in dit geval was het",hond in de pot," @ahmedmarcouch is niets geslotens aan",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.593.s.1.w.7 text.1.event.593.s.1.w.8 text.1.event.593.s.1.w.9 text.1.event.593.s.1.w.10,"   ","   "
WR-P-E-L-0000000198,Unspecified," jaar , of is het",hond in de pot," ? #surprise #pvv zouden ze",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.1084.s.1.w.12 text.1.event.1084.s.1.w.13 text.1.event.1084.s.1.w.14 text.1.event.1084.s.1.w.15,"   ","   "
WR-P-E-L-0000000107,Unspecified," van huis is , de",hond in de pot," vinden . #spreuken Dat is",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.2681.s.1.w.9 text.1.event.2681.s.1.w.10 text.1.event.2681.s.1.w.11 text.1.event.2681.s.1.w.12,"   ","   "
WR-P-E-L-0000000037,Unspecified," . Sommige mensen vinden de",hond in de pot," , een paard op de",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.1910.s.1.w.5 text.1.event.1910.s.1.w.6 text.1.event.1910.s.1.w.7 text.1.event.1910.s.1.w.8,"   ","   "
WR-P-E-L-0000000414,Unspecified," @FrootNL @rindersekeris Als je de",hond in de pot," vindt , zoek dan een",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.1613.s.1.w.5 text.1.event.1613.s.1.w.6 text.1.event.1613.s.1.w.7 text.1.event.1613.s.1.w.8,"   ","   "
WR-P-E-L-0000000384,Unspecified," iets anders gevonden dan de",hond in de pot," ? #penw #diongraus praat over",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.4.s.3.w.8 text.1.event.4.s.3.w.9 text.1.event.4.s.3.w.10 text.1.event.4.s.3.w.11,"   ","   "
WR-P-E-L-0000000073,Unspecified," jou nooit : ' de",hond in de pot," vinden ' ? @PosttheaterUIT Tot",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.3114.s.2.w.8 text.1.event.3114.s.2.w.9 text.1.event.3114.s.2.w.10 text.1.event.3114.s.2.w.11,"   ","   "
WR-P-E-L-0000000035,Unspecified," ? Ik speel graag voor",hond in de pot," ... hahaha RT : @annetsmith",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.2050.s.3.w.5 text.1.event.2050.s.3.w.6 text.1.event.2050.s.3.w.7 text.1.event.2050.s.3.w.8,"   ","   "
WR-P-E-L-0000000251,Unspecified," @Jeroenw29 : eitje ... de",hond in de pot," vinden . Ik ga nog",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.1314.s.1.w.6 text.1.event.1314.s.1.w.7 text.1.event.1314.s.1.w.8 text.1.event.1314.s.1.w.9,"   ","   "
WR-P-E-L-0000000566,Unspecified," . Vond jij ook de",hond in de pot," , Noor ? cc @",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.2094.s.2.w.5 text.1.event.2094.s.2.w.6 text.1.event.2094.s.2.w.7 text.1.event.2094.s.2.w.8,"   ","   "
WR-P-E-L-0000000046,Unspecified," bezuinigingen ? #Doetinchem http://yfrog.com/h3pclmij nix",hond in de pot," .... hond op tafel ....",hond in de pot,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",text.1.event.3419.s.1.w.3 text.1.event.3419.s.1.w.4 text.1.event.3419.s.1.w.5 text.1.event.3419.s.1.w.6,"   ","   "
