docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-A-0000903511,VVO: De bankcrisis in België: 1830 bis.," weekend en met het water",tot aan de lippen," , ons maakt men niet",tot aan de lip,"VZ(init) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",VZ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.2.w.17 p.4.s.2.w.18 p.4.s.2.w.19 p.4.s.2.w.20,"   ","   "
WR-P-E-A-0005344572,Overbrugging," als het water je echt",tot aan de lippen," staat accepteer je elke bezemkast",tot aan de lip,"VZ(init) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",VZ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.2.w.12 p.5.s.2.w.13 p.5.s.2.w.14 p.5.s.2.w.15,"   ","   "
WR-P-E-C-0000004904,Toekomst publieke toegangsomroep onzeker," zien de toegangsomroepen het water",tot aan de lippen," stijgen en hebben zich deze",tot aan de lip,"VZ(init) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",VZ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.13.s.1.w.7 p.13.s.1.w.8 p.13.s.1.w.9 p.13.s.1.w.10,"   ","   "
WR-P-E-G-0000010381,Total recall," maar staat het water u",tot de lippen," ? Heeft u altijd al",tot de lip,"VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.55.s.1.w.17 p.55.s.1.w.18 p.55.s.1.w.19,"  ","  "
WR-P-E-A-0000705070,Vergeten jongeren," komt het water hen echt",tot de lippen," . JAC-medewerker Eddy : '",tot de lip,"VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.5.s.5.w.13 p.5.s.5.w.14 p.5.s.5.w.15,"  ","  "
WR-P-E-A-0005338988,Wat erg voor jullie," krijgen als het water echt",tot aan je lippen," staat . Dat is vooral",tot aan je lip,"VZ(init) VZ(init) VNW(bez,det,stan,red,2v,ev,prenom,zonder,agr) N(soort,mv,basis)",VZ VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.1.w.17 p.3.s.1.w.18 p.3.s.1.w.19 p.3.s.1.w.20,"   ","   "
WR-P-E-A-0000897572,Mag IJsland toetreden tot de EU?," , als het (ijs)water ze",tot aan de lippen," staat ; natuurlijk willen ze",tot aan de lip,"VZ(init) VZ(init) LID(bep,stan,rest) N(soort,mv,basis)",VZ VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.3.w.7 p.1.s.3.w.8 p.1.s.3.w.9 p.1.s.3.w.10,"   ","   "
WR-P-P-B-0000000113,Waar het de tijd aan ontbreekt," stralenkrans in de lucht die",tot haar lippen," reikte . Toen blies zij",tot haar lip,"VZ(init) VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr) N(soort,mv,basis)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.864.s.1.w.18 p.864.s.1.w.19 p.864.s.1.w.20,"  ","  "
WR-P-P-B-0000000113,Waar het de tijd aan ontbreekt," met leegte gevuld was .",Tot haar lippen," overstroomden van droefenis . Tot",tot haar lip,"VZ(init) VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr) N(soort,mv,basis)",VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.2367.s.10.w.1 p.2367.s.10.w.2 p.2367.s.10.w.3,"  ","  "
WR-P-P-B-0000000441,1," . 6 Het water stijgt",tot aan mijn lippen," , muren van water storten",tot aan mijn lip,"VZ(init) VZ(init) VNW(bez,det,stan,vol,1,ev,prenom,zonder,agr) N(soort,mv,basis)",VZ VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.55.s.1.w.4 p.55.s.1.w.5 p.55.s.1.w.6 p.55.s.1.w.7,"   ","   "
