docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-G-0000010886,Slap shot," lot . Jij hebt 't",heft in handen," . Je bedenkt je toch",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.922.s.1.w.4 p.922.s.1.w.5 p.922.s.1.w.6,"  ","  "
WR-P-E-C-0000011080,Medianieuws uit de zondagse kranten.," Putman op het podium het",heft in handen," genomen en het publiek apprecieert",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.2.s.10.w.10 p.2.s.10.w.11 p.2.s.10.w.12,"  ","  "
WR-P-E-G-0000011452,Stargate," West . lk neem het",heft in handen," vanaf nu . Tienduizend jaar",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.134.s.1.w.4 p.134.s.1.w.5 p.134.s.1.w.6,"  ","  "
WR-P-E-G-0000010400,Speed," aI . Ik heb het",heft in handen," . AIs dit vaIt ,",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.122.s.1.w.4 p.122.s.1.w.5 p.122.s.1.w.6,"  ","  "
WR-P-E-G-0000009294,Subtitles for Airline Classics 3," Een Franse student neemt het",heft in eigen handen," . Aan de verkoopbalie ligt",heft in eigen hand,"N(soort,ev,basis,onz,stan) VZ(init) ADJ(prenom,basis,zonder) N(soort,mv,basis)",N VZ ADJ N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.15.s.1.w.6 p.15.s.1.w.7 p.15.s.1.w.8 p.15.s.1.w.9,"   ","   "
WR-P-E-C-0000017010,Het (niet) Gesproken Radio Dagblad," houdt de openbare omroep het",heft in handen," "" , zegt onze man",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.3.s.6.w.10 p.3.s.6.w.11 p.3.s.6.w.12,"  ","  "
WR-P-E-G-0000010714,Into the blue," dansen of neem je het",heft in eigen handen," ? Ik denk dat het",heft in eigen hand,"N(soort,ev,basis,onz,stan) VZ(init) ADJ(prenom,basis,zonder) N(soort,mv,basis)",N VZ ADJ N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.578.s.1.w.11 p.578.s.1.w.12 p.578.s.1.w.13 p.578.s.1.w.14,"   ","   "
WR-P-E-G-0000005967,Subtitles for HLZHEI - Airline USA (3)," heeft supervisor Mike Carr het",heft in handen," genomen . Wanneer er problemen",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.11.s.1.w.11 p.11.s.1.w.12 p.11.s.1.w.13,"  ","  "
WR-P-E-G-0000006100,Subtitles for Het Derde Oog - Human Mind (2)," betekent dat zijn frontaalkwabben het",heft in handen," hebben . En dat de",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.260.s.1.w.19 p.260.s.1.w.20 p.260.s.1.w.21,"  ","  "
WR-P-E-G-0000008377,Subtitles for Kaat en Co (83) - Bekentenis," . ' Patrick neemt het",heft in handen," en praat met Nikki .",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.286.s.1.w.5 p.286.s.1.w.6 p.286.s.1.w.7,"  ","  "
WR-P-E-G-0000010343,Rocky ii," . Hij neemt meteen het",heft in handen," . Hij gebaart naar Rocky",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.1001.s.1.w.5 p.1001.s.1.w.6 p.1001.s.1.w.7,"  ","  "
WR-P-E-G-0000009308,Subtitles for Airline Classics 4," . Gelukkig neemt mam het",heft in handen," . Als je een vertraging",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.18.s.1.w.5 p.18.s.1.w.6 p.18.s.1.w.7,"  ","  "
WR-P-E-G-0000009308,Subtitles for Airline Classics 4," en een passagier neemt het",heft in eigen handen," . Eindelijk is de onderhoudsploeg",heft in eigen hand,"N(soort,ev,basis,onz,stan) VZ(init) ADJ(prenom,basis,zonder) N(soort,mv,basis)",N VZ ADJ N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.62.s.1.w.9 p.62.s.1.w.10 p.62.s.1.w.11 p.62.s.1.w.12,"   ","   "
WR-P-E-G-0000011080,Shaun of the dead," parket . lemand moet het",heft in handen," nemen . En als niemand",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.226.s.1.w.4 p.226.s.1.w.5 p.226.s.1.w.6,"  ","  "
WR-P-E-G-0000007946,Subtitles for Thuis 1756," bevallen , moet ik het",heft in eigen handen," nemen . 't Hangt ervan",heft in eigen hand,"N(soort,ev,basis,onz,stan) VZ(init) ADJ(prenom,basis,zonder) N(soort,mv,basis)",N VZ ADJ N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.173.s.1.w.10 p.173.s.1.w.11 p.173.s.1.w.12 p.173.s.1.w.13,"   ","   "
WR-P-E-G-0000010567,Bad boys ii," Waarom neem je altijd het",heft in handen," ? - Waar heb je",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.171.s.1.w.6 p.171.s.1.w.7 p.171.s.1.w.8,"  ","  "
WR-P-E-A-0000393413,Sociaal-democratie/sp.a rood," hoe "" het volk het",heft in eigen handen," moet nemen "" . Da's",heft in eigen hand,"N(soort,ev,basis,onz,stan) VZ(init) ADJ(prenom,basis,zonder) N(soort,mv,basis)",N VZ ADJ N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.6.w.20 p.2.s.6.w.21 p.2.s.6.w.22 p.2.s.6.w.23,"   ","   "
WR-P-E-A-0000645729,Gezever B-H-V is de doodsteek," Vlaanderen en Wallonië zelf het",heft in handen," nemen en onderhandelen ZONDER Brussel",heft in hand,"N(soort,ev,basis,onz,stan) VZ(init) N(soort,mv,basis)",N VZ N,,,,,,,,,,,,,,,,,,,,,,,"  ",p.2.s.1.w.13 p.2.s.1.w.14 p.2.s.1.w.15,"  ","  "
