. LET()	28810	28810	3.97996
! LET()	23820	52630	7.27058
, LET()	23603	76233	10.5312
ik VNW(pers,pron,nomin,vol,1,ev)	17707	93940	12.9774
? LET()	16978	110918	15.3228
zijn WW(pv,tgw,ev)	12069	122987	16.9901
de LID(bep,stan,rest)	11298	134285	18.5508
je VNW(pers,pron,nomin,red,2v,ev)	10109	144394	19.9473
en VG(neven)	9015	153409	21.1927
een LID(onbep,stan,agr)	7158	160567	22.1816
in VZ(init)	6578	167145	23.0903
nog BW()	6531	173676	23.9925
niet BW()	6327	180003	24.8666
het VNW(pers,pron,stan,red,3,ev,onz)	6284	186287	25.7347
... LET()	6249	192536	26.5979
van VZ(init)	5599	198135	27.3714
wel BW()	5186	203321	28.0878
hebben WW(pv,tgw,ev)	4649	207970	28.7301
ook BW()	4548	212518	29.3583
met VZ(init)	4418	216936	29.9687
x N(soort,ev,basis,zijd,stan)	4374	221310	30.5729
op VZ(init)	4325	225635	31.1704
' LET()	4296	229931	31.7639
voor VZ(init)	4052	233983	32.3236
we VNW(pers,pron,nomin,red,1,mv)	3862	237845	32.8571
er VNW(aanw,adv-pron,stan,red,3,getal)	3814	241659	33.384
maar VG(neven)	3762	245421	33.9037
het LID(bep,stan,evon)	3689	249110	34.4134
nu BW()	3653	252763	34.918
te VZ(init)	3568	256331	35.4109
dan BW()	3513	259844	35.8962
dat VG(onder)	3468	263312	36.3753
al BW()	3230	266542	36.8215
naar VZ(init)	3182	269724	37.2611
om VZ(init)	3091	272815	37.6881
zijn WW(pv,verl,ev)	2875	275690	38.0853
:) SPEC(symb)	2863	278553	38.4808
goed ADJ(vrij,basis,zonder)	2861	281414	38.876
kunnen WW(pv,tgw,ev)	2730	284144	39.2531
: LET()	2719	286863	39.6287
:-) SPEC(symb)	2681	289544	39.9991
dat VNW(aanw,pron,stan,vol,3o,ev)	2618	292162	40.3608
bij VZ(init)	2530	294692	40.7103
ja TSW()	2503	297195	41.0561
tot VZ(init)	2476	299671	41.3981
