"","idiom","idiomaticity_before","idiomaticity_after"
"1","aal bij zijn staart",1,1
"2","aan de aarde vertrouwen",1,1
"3","aan de bel trekken",1,1
"4","aan zijn jasje trekken",0.714285714285714,0.714285714285714
"5","aan zijn woord houden",1,1
"6","aap uit de mouw",0.98,0.98
"7","achter de geraniums",1,1
"8","achter de hand houden",1,1
"9","addertje onder het gras",1,1
"10","advocaat van de duivel",1,1
"11","als een blok in slaap",1,1
"12","appeltje voor de dorst",1,1
"13","baard in de keel",1,1
"14","beide benen op de grond",1,1
"15","benen uit het lijf",1,1
"16","bij de dag leven",0.952380952380952,0.952380952380952
"17","bij de duivel te biecht",1,1
"18","blad voor de mond",1,1
"19","boel op stelten",1,1
"20","boer met kiespijn",0.976744186046512,0.976744186046512
"21","bokken van de schapen",1,1
"22","bord voor hun kop",0.94,0.94
"23","boter bij de vis",0.98,0.98
"24","boter op het hoofd",1,1
"25","boven water halen",0.84,0.84
"26","brood op de plank",0.98,0.98
"27","brood uit de mond stoten",NA,NA
"28","buiten de deur houden",1,1
"29","daad bij het woord",1,1
"30","de kat uit de boom",1,1
"31","de longen uit het lijf",1,1
"32","deksel op de neus",1,1
"33","door de bomen het bos",1,1
"34","door het oog van de naald",1,1
"35","druk van de ketel",1,1
"36","duit in het zakje",1,1
"37","eieren voor zijn geld",1,1
"38","eten uit je mond kijken",1,1
"39","gat in de lucht",1,1
"40","gat in hun hand",0.92,0.92
"41","geld op zak",1,1
"42","geld over de balk",1,1
"43","gesprek van de dag",0.94,0.94
"44","gezicht in de plooi",1,1
"45","God in Frankrijk",1,1
"46","haar op hun tanden",1,1
"47","hak op de tak",1,1
"48","hand in de tand",1,1
"49","hand op de knip",1,1
"50","handdoek in de ring",1,1
"51","hart onder de riem",1,1
"52","heft in handen",1,1
"53","hek van de dam",1,1
"54","held op sokken",1,1
"55","hemd van het lijf",1,1
"56","het in hun broek doen",0.56,1
"57","hol van de leeuw",0.98,0.98
"58","hond in de pot",1,1
"59","hoofd als een boei",1,1
"60","hoofd boven water",1,1
"61","hoofd in de wolken",1,1
"62","hoofd op hol",1,1
"63","in de arm nemen",0.92,0.92
"64","in de kaart spelen",1,1
"65","in de kraag vatten",1,1
"66","in de lappenmand",1,1
"67","in de val lopen",0.98,0.98
"68","in de vingers hebben",0.98,0.98
"69","in een zwart gat vallen",NA,NA
"70","in het achterhoofd houden",0.98,0.98
"71","in het honderd lopen",0.92,1
"72","in mijn keel kloppen",1,1
"73","in uw oren knopen",1,1
"74","in vuur en vlam",0.76,0.76
"75","in zak en as",1,1
"76","in zijn hemd staan",0.88,0.88
"77","kaas van het brood eten",1,1
"78","kat in een zak",1,1
"79","kat op het spek",1,1
"80","kind met het badwater",1,1
"81","kind van de rekening",1,1
"82","kink in de kabel",1,1
"83","knollen voor citroenen",1,1
"84","koe bij de hoorns",1,1
"85","kogel is door de kerk",1,1
"86","kont tegen de krib",1,1
"87","kop in de wind",1,1
"88","kop in het zand",0.98,0.98
"89","kous op de kop",1,1
"90","leven in de brouwerij",1,1
"91","luis in de pels",0.98,0.98
"92","mazen van het net",0.98,0.98
"93","met de deur in huis",1,1
"94","met de duimen draaien",1,1
