"","blogs","books","brochures","chats","discussion lists","e-magazines","guides manuals","legal texts","newsletters","newspapers","periodicals magazines","policy documents","press releases","proceedings","reports","sms","subtitles","teletext pages","texts for the visually impaired","tweets","web sites","wikipedia","written assignments"
"aal bij zijn staart","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"aan de aarde vertrouwen"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 3"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 0"," 0"," 0"
"aan de bel trekken","  0"," 61","  0","  8","145"," 70","  0","  9","  0"," 83"," 38"," 92","300","318","270","  0"," 11","  0","296"," 86","  0","  4","  0"
"aan zijn jasje trekken","  0"," 34","  0","  0","  2","  0","  0","  0","  0","  7","  2","  0","  0","  0","  0","  0","  4","  0","148"," 30","  0","  0","  0"
"aan zijn woord houden","  0","199","  0"," 34"," 32","  0","  0","  0","  0"," 28"," 15"," 92","  0","  0"," 45","  0"," 89","223","  0"," 34","  0"," 13","  0"
"aap uit de mouw"," 0","15"," 0","34","74","35"," 0"," 0"," 0","27","33","23"," 0"," 0"," 0"," 0","11"," 0"," 0","39"," 0"," 9"," 0"
"achter de geraniums","  0"," 11","  0"," 34","  7","  0","  0","  0","  0"," 22","  5","  0","  0","  0","  0","  0","  0","  0","593"," 47","  0","  9","  0"
"achter de hand houden","  0","118"," 82","  8"," 98","128","  0","  0","  0","249","207","103","  0","  0","180","  0","124","223","148"," 69"," 32"," 39","  0"
"addertje onder het gras","  0"," 69"," 82"," 25","103","162","  0","  0","  0"," 62","150"," 57","  0","  0"," 45","  0"," 50","446","148"," 43","  0","  0","  0"
"advocaat van de duivel"," 0","53"," 0"," 0","63","58"," 0"," 0"," 0","15","43","11"," 0"," 0"," 0"," 0","21"," 0"," 0","26"," 0","13"," 0"
"als een blok in slaap","  0"," 57","  0","  8"," 33","  0","  0","  0","  0"," 11","  9","  0","  0","  0","  0","138"," 18","  0","  0"," 26","  0","  0","  0"
"appeltje voor de dorst","  0"," 11","  0"," 17"," 42"," 12","  0","  0","  0"," 43"," 90"," 11","  0","  0","  0","  0"," 28","  0","148"," 39","  0","  9","  0"
