"","blogs","books","brochures","chats","discussion lists","e-magazines","legal texts","newsletters","newspapers","policy documents","press releases","proceedings","reports","sms","subtitles","texts for the visually impaired","tweets","wikipedia","written assignments"
"aal bij zijn staart "," 0","19"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"aan de aarde vertrouwen"," 0","38"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0","53"," 0"," 0"," 0"," 0"
"aan de bel trekken","   0"," 306","   0","  42"," 727"," 348","  47","   0"," 416"," 459","1502","1592","1352","   0","  53","1481"," 431","  22","   0"
"aan zijn jasje trekken","  0","172","  0","  0","  9","  0","  0","  0"," 33","  0","  0","  0","  0","  0"," 18","741","151","  0","  0"
"aan zijn woord houden","  0","993","  0","168","158","  0","  0","  0","139","459","  0","  0","225","  0","443","  0","172"," 65","  0"
"aap uit de mouw ","  0"," 76","  0","168","368","174","  0","  0","137","115","  0","  0","  0","  0"," 53","  0","194"," 43","  0"
"achter de geraniums ","   0","  57","   0"," 168","  35","   0","   0","   0"," 111","   0","   0","   0","   0","   0","   0","2963"," 237","  43","   0"
"achter de hand houden","   0"," 592"," 412","  42"," 491"," 638","   0","   0","1245"," 517","   0","   0"," 902","   0"," 620"," 741"," 345"," 196","   0"
"addertje onder het gras ","  0","344","412","126","517","811","  0","  0","309","287","  0","  0","225","  0","248","741","216","  0","  0"
"advocaat van de duivel ","  0","267","  0","  0","315","290","  0","  0"," 76"," 57","  0","  0","  0","  0","106","  0","129"," 65","  0"
"als een blok in slaap ","  0","286","  0"," 42","166","  0","  0","  0"," 57","  0","  0","  0","  0","691"," 89","  0","129","  0","  0"
"appeltje voor de dorst ","  0"," 57","  0"," 84","210"," 58","  0","  0","215"," 57","  0","  0","  0","  0","142","741","194"," 43","  0"
"baard in de keel ","  0"," 57","  0","126"," 88"," 58","  0","  0"," 40","  0","  0","  0","  0","  0","106","  0"," 86"," 65","  0"
"beide benen op de grond ","  0","802","  0"," 84"," 88","  0","  0","  0","246","230","  0","  0","  0","  0","230","741","496"," 43","  0"
"benen uit het lijf ","  0","153","  0","  0"," 53","  0","  0","  0"," 43","  0","  0","  0","225","  0"," 18","  0"," 86","  0","  0"
"bij de dag leven","   0"," 229","   0","   0","  61","  58","   0","   0","  40","   0","   0","   0","   0","   0","  35","1481","  22","   0","   0"
"bij de duivel te biecht ","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"blad voor de mond ","3577"," 496","   0"," 295"," 263","1275","   0","   0"," 654","  57","   0","   0","   0","   0"," 230","   0"," 172"," 152","   0"
"boel op stelten ","  0"," 76","412","463","228","  0","  0","  0","227","  0","  0","  0","  0","  0","213","  0"," 86"," 22","  0"
"boer met kiespijn ","  0","191","  0","  0"," 26","116","  0","  0"," 28","  0","  0","  0","  0","  0","  0","  0","129","  0","  0"
"bokken van de schapen "," 0","19"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","22"," 0"," 0"
"bord voor hun kop ","  0","  0","  0","  0","131"," 58","  0","  0"," 21","  0","  0","  0","  0","  0"," 35","  0","496"," 22","  0"
"boter bij de vis ","    0","   38","    0","  126","  131","    0","    0","    0","  222","  115","12019","    0","    0","    0","  177","    0","  323","   22","    0"
"boter op het hoofd ","  0","  0","  0","  0","254","174","  0","  0","361","230","  0","  0","225","  0"," 53","  0","431"," 43","  0"
"boven water halen","  0","115","  0","  0"," 61"," 58","  0","  0","184","172","  0","  0","451","  0"," 18","  0"," 22","130","  0"
"brood op de plank ","  0","286","  0"," 84","324","348","  0","  0","293","  0","  0","  0","  0","691","284","741","172"," 87","  0"
"buiten de deur houden","   0"," 344","   0","   0"," 149"," 174","   0","   0"," 543"," 287","   0","3184"," 451","   0","  35"," 741"," 302"," 109","   0"
"daad bij het woord ","   0"," 267","   0","  42"," 298"," 406","   0","   0"," 489","2181","   0","   0"," 451","   0","  89"," 741"," 302","  22","   0"
"de kat uit de boom ","   0"," 153"," 412"," 168"," 421"," 348","   0","   0","1018"," 172","   0","   0"," 451","   0"," 160"," 741","  86","  87","   0"
"de longen uit het lijf ","3577"," 401","   0","   0"," 149","  58","   0","   0"," 217","   0","   0","   0","   0","   0","  71","   0"," 237","   0","   0"
"deksel op de neus ","   0","  19","   0","  42"," 464"," 232","   0","   0","1483","   0","   0","   0","   0","   0"," 461","   0","  22","  22","   0"
"deur op een kier ","  0","802","  0","  0","114","  0","  0","  0","272","230","  0","  0","  0","  0","213","  0","151"," 22","  0"
"door de bomen het bos ","   0"," 172"," 412"," 126"," 377"," 290","   0","   0"," 177"," 287","   0","   0","   0","   0","  71","2222"," 237"," 130","   0"
"door het oog van de naald ","  0","363","  0"," 42"," 70","174","  0","  0","775","  0","  0","  0","  0","691"," 71","  0","108","152","  0"
"druk van de ketel ","  0"," 76","  0"," 42","140","116","  0","  0","208","  0","  0","  0","225","  0"," 18","  0","  0","  0","  0"
"duit in het zakje ","3577"," 439","   0","  42"," 342","1565","   0","   0","1313"," 517","   0","   0"," 451","   0"," 124","1481"," 431","  65","   0"
"eieren voor zijn geld ","   0"," 115","   0","   0"," 526"," 116","   0","   0"," 579"," 230","   0","1592","1127","   0","  71","   0"," 194"," 326","   0"
"eten uit je mond kijken"," 0"," 0"," 0"," 0","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"gaatje in het hoofd "," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0","14"," 0"," 0"," 0"," 0"," 0","71"," 0","86"," 0"," 0"
"gat in de lucht ","  3577","   153","     0","     0","   210","   116","     0","     0","   361","     0","     0","     0","     0","     0","   443","     0","   431","    43","861859"
"gat in hun hand ","  0","134","  0","168","350","  0","  0","  0"," 90","  0","  0","  0","  0","  0","177","  0","259"," 22","  0"
"geld op zak ","  0","325","  0","  0","210","174","  0","  0","317"," 57","  0","  0","  0","  0","284","  0"," 65"," 22","  0"
"geld over de balk ","  0"," 76","  0","  0","184","  0","  0","  0","111","115","  0","  0","  0","  0","106","  0"," 86"," 22","  0"
"gesprek van de dag ","  0","325","  0","  0","  9"," 58","  0","  0","189"," 57","  0","  0","451","  0"," 18","741","345"," 87","  0"
"gezicht in de plooi ","  0","344","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  0","  0","  0"," 35","  0"," 43","  0","  0"
"God in Frankrijk ","  0"," 57","  0","126"," 44","232","  0","  0","118","  0","  0","  0","  0","  0","585","  0","108"," 43","  0"
"haar op hun tanden ","   0","  38","   0"," 547"," 788"," 174","   0","   0"," 104","   0","   0","3184","   0","   0"," 372"," 741"," 108","   0","   0"
"hak op de tak ","  0","191","412","505","245","  0","  0","  0"," 90"," 57","  0","  0","  0","  0"," 71","  0","280"," 22","  0"
"hand in de tand "," 0","95"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 0","35"," 0"," 0","22"," 0"
