"","blogs","books","brochures","chats","discussion lists","e-magazines","legal texts","newsletters","newspapers","policy documents","press releases","proceedings","reports","sms","subtitles","texts for the visually impaired","tweets","wikipedia","written assignments"
"aal bij zijn staart "," 0.00000","19.09506"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"
"aan de aarde vertrouwen"," 0.000000","38.190123"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 9.448681"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000","53.172924"," 0.000000"," 0.000000"," 0.000000"," 0.000000"
"aan de bel trekken","   0.00000"," 305.52098","   0.00000","  42.11082"," 727.17009"," 347.77577","  46.77408","   0.00000"," 415.74198"," 459.16049","1502.42642","1592.22992","1352.43391","   0.00000","  53.17292","1481.30153"," 431.08631","  21.73801","   0.00000"
"aan zijn jasje trekken","  0.000000","171.855552","  0.000000","  0.000000","  8.761085","  0.000000","  0.000000","  0.000000"," 33.070385","  0.000000","  0.000000","  0.000000","  0.000000","  0.000000"," 17.724308","740.650765","150.880207","  0.000000","  0.000000"
"aan zijn woord houden","  0.00000","992.94319","  0.00000","168.44327","157.69954","  0.00000","  0.00000","  0.00000","139.36805","459.16049","  0.00000","  0.00000","225.40565","  0.00000","443.10770","  0.00000","172.43452"," 65.21403","  0.00000"
"aap uit de mouw ","  0.00000"," 76.38025","  0.00000","168.44327","367.96559","173.88788","  0.00000","  0.00000","137.00588","114.79012","  0.00000","  0.00000","  0.00000","  0.00000"," 53.17292","  0.00000","193.98884"," 43.47602","  0.00000"
"achter de geraniums ","   0.00000","  57.28518","   0.00000"," 168.44327","  35.04434","   0.00000","   0.00000","   0.00000"," 111.02201","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","2962.60306"," 237.09747","  43.47602","   0.00000"
"achter de hand houden","   0.00000"," 591.94690"," 412.07138","  42.11082"," 490.62078"," 637.58890","   0.00000","   0.00000","1244.86377"," 516.55555","   0.00000","   0.00000"," 901.62261","   0.00000"," 620.35078"," 740.65077"," 344.86904"," 195.64210","   0.00000"
"addertje onder het gras ","  0.0000","343.7111","412.0714","126.3324","516.9040","811.4768","  0.0000","  0.0000","309.4443","286.9753","  0.0000","  0.0000","225.4057","  0.0000","248.1403","740.6508","215.5432","  0.0000","  0.0000"
"advocaat van de duivel ","  0.00000","267.33086","  0.00000","  0.00000","315.39908","289.81314","  0.00000","  0.00000"," 75.58945"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000","106.34585","  0.00000","129.32589"," 65.21403","  0.00000"
