;ADJ;BW;LID;ZNW;TSW;VNW;VZ;WW;LET;SPEC;TW;VG
NEWSPAPERS;13083750;11070884;19446758;35015107;68523;16423674;25044107;27858674;28033975;21262343;6499251;7862702
DISCUSSION LISTS;3978221;4852320;3236839;8695660;163188;7374970;4980319;8484309;8230040;3582908;727045;2764735
LEGAL TEXTS;534230;170391;1110792;2411195;722;352789;1694374;1178666;1529845;629433;672478;404766
BLOGS;9528;6238;13539;25310;61;10117;17710;16213;16864;14893;3819;5473
BOOKS;1531137;1488683;2054319;3795441;31860;3675238;2975257;4275886;3564663;1050718;347697;1393882
BROCHURES;96872;44917;137845;264870;139;67724;170402;162204;140389;45125;26173;56722
E-MAGAZINES;549057;385341;770779;1441036;2354;557190;1064464;968808;1210007;1077195;285758;314259
GUIDES MANUALS;13108;9614;27475;50624;187;14211;31503;38689;26337;10249;3864;10238
NEWSLETTERS;2337;1915;3231;6893;9;2826;4886;5064;3942;2044;663;1636
PERIODICALS MAGAZINES;6640683;4914628;8827161;16106307;34241;7451873;11029452;11973114;11384497;8824399;1966235;3906334
POLICY DOCUMENTS;660985;490075;1001487;1688296;1175;845409;1217300;1332511;701693;232034;97936;442650
PRESS RELEASES;23361;11025;38311;75491;11;14594;52164;43855;31926;20683;8338;13036
PROCEEDINGS;19936;14315;36312;61512;93;24071;44802;42993;33967;14605;8412;13007
REPORTS;158214;118506;248925;385842;137;140559;337099;297737;219369;174285;44708;92842
SUBTITLES;1428848;2022297;1410547;3225937;289496;4752690;2033416;4821582;5518207;1394315;306488;1006023
TELETEXT;26991;26622;44013;74307;467;42256;51550;71396;52250;31023;11027;16963
TEXTS FOR THE VISUALLY IMPAIRED;47332;43421;60502;115911;455;73076;84509;103336;77007;27847;9713;31973
WEBSITES;255042;113195;339495;661199;180;147199;452840;365607;344420;202601;102223;127588
WIKIPEDIA;1413622;737769;2260166;4045503;2247;1130620;2799448;2540030;2994549;3291886;976954;808390
WRITTEN ASSIGNMENTS;17870;15763;37458;68418;13;24026;44507;53436;55861;13743;12650;14202
