docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-E-C-0000010871,Groen licht voor frequentieplan in Wallonië," TE ZIEN Iedereen deed z'n",duit in het zakje," om de problemen zo groot",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.7.w.9 p.1.s.7.w.10 p.1.s.7.w.11 p.1.s.7.w.12,"   ","   "
WR-P-E-C-0000007603,Duvelradio hoopt op betere engelbewaarder," op de luisteraars om een",duit in het zakje," te doen . STEUN GEZOCHT",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.2.w.15 p.2.s.2.w.16 p.2.s.2.w.17 p.2.s.2.w.18,"   ","   "
WR-P-E-C-0000005386,Radio 2 herdenkt Ann Christy," ook Vlaanderens grootste radiozender zijn",duit in het zakje," met de organisatie van een",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.2.w.14 p.4.s.2.w.15 p.4.s.2.w.16 p.4.s.2.w.17,"   ","   "
WR-P-E-C-0000014603,Music for Life: de eerste tussenstand," zoals de voorgaande jaren zijn",duit in het zakje," en schonk 300.000 euro aan",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.2.w.11 p.1.s.2.w.12 p.1.s.2.w.13 p.1.s.2.w.14,"   ","   "
WR-P-E-C-0000009730,Humo-spot live vanuit Glazen Huis in Leuven," Guy en Jens Mortier hun",duit in het zakje," . Vader en zoon Mortier",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.2.w.14 p.2.s.2.w.15 p.2.s.2.w.16 p.2.s.2.w.17,"   ","   "
WR-P-E-C-0000014463,Het (niet) Gesproken Radio Dagblad," kranten van de Corelio-groep hun",duit in het zakje," gedaan . Dit keer richtten",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.2.w.20 p.5.s.2.w.21 p.5.s.2.w.22 p.5.s.2.w.23,"   ","   "
WR-P-E-C-0000018575,Op weg naar het beeld (12)," Ardenne allen deden ze hun",duit in het zakje," . Toch was er één",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.3.w.26 p.2.s.3.w.27 p.2.s.3.w.28 p.2.s.3.w.29,"   ","   "
WR-P-E-C-0000018169,Het (niet) Gesproken Vlaams Radio Dagblad," , deed ook Humo z'ijn",duit in het zakje," . Het onafhankelijk weekblad voor",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.4.w.15 p.5.s.4.w.16 p.5.s.4.w.17 p.5.s.4.w.18,"   ","   "
WR-P-E-C-0000007846,Studio Brussel: Nirvana weer op 1 in De tijdloze," Daan doen echter ook hun",duit in het zakje," . Op vier jaar tijd",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.2.w.9 p.5.s.2.w.10 p.5.s.2.w.11 p.5.s.2.w.12,"   ","   "
WR-P-E-C-0000018528,Music for Life: nog meer hulp," onze concerten en ondertussen hun",duit in het zakje," doen . Alle kleintjes helpen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.3.w.23 p.5.s.3.w.24 p.5.s.3.w.25 p.5.s.3.w.26,"   ","   "
WR-P-E-G-0000006809,Subtitles for ABC van de VRT II (9)," Koning Albert doet ook z'n",duit in het zakje," . Hij verspreekt zich weleens",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.251.s.1.w.8 p.251.s.1.w.9 p.251.s.1.w.10 p.251.s.1.w.11,"   ","   "
WR-P-E-J-0000097244,The Naked Truth (Golden Earring)," televisiespecial is Veronica bereid een",duit in het zakje," te doen . In september",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.7.w.10 p.2.s.7.w.11 p.2.s.7.w.12 p.2.s.7.w.13,"   ","   "
WR-P-E-G-0000005867,Subtitles for Histories - Atlantikwall," Terrier en zijn kameraden hun",duit in het zakje," . Niet alle Duitse soldaten",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.116.s.1.w.11 p.116.s.1.w.12 p.116.s.1.w.13 p.116.s.1.w.14,"   ","   "
WR-P-E-G-0000007000,Subtitles for Vrolijk Vlaanderen - Mode," de Juliekes doen ook hun",duit in het zakje," . Welkom in modieus Vrolijk",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.1.w.16 p.3.s.1.w.17 p.3.s.1.w.18 p.3.s.1.w.19,"   ","   "
WR-P-E-A-0000021227,Unspecified," onzin slikten en effectief hun",duit in het zakje," gedaan hadden . ",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.3.w.16 p.3.s.3.w.17 p.3.s.3.w.18 p.3.s.3.w.19,"   ","   "
WR-P-E-A-0005354999,Nog een duit in het zakje,Nog een,duit in het zakje," Hoi , het is misschien",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",head.1.s.1.w.3 head.1.s.1.w.4 head.1.s.1.w.5 head.1.s.1.w.6,"   ","   "
WR-P-E-A-0000469963,Stasi : Evergemse Vlaming pleegde 6 moorden in België," de gucht uiteraard ook zijn",duit in het zakje," laten doen . Dan mediacampagne",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.2.w.20 p.1.s.2.w.21 p.1.s.2.w.22 p.1.s.2.w.23,"   ","   "
WR-P-E-A-0005849952,Per kind anders," doe ook maar even een",duit in het zakje," wat betreft deze discussie .",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.7 p.2.s.1.w.8 p.2.s.1.w.9 p.2.s.1.w.10,"   ","   "
WR-P-E-A-0000469962,Stasi : Evergemse Vlaming pleegde 6 moorden in België," de gucht uiteraard ook zijn",duit in het zakje," laten doen . Dan mediacampagne",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.2.w.20 p.2.s.2.w.21 p.2.s.2.w.22 p.2.s.2.w.23,"   ","   "
WR-P-E-A-0005482173,Mannen en vrouwen; duit in het zakje,Mannen en vrouwen ;,duit in het zakje," Mannen mogen meer calorieën per",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",head.1.s.1.w.5 head.1.s.1.w.6 head.1.s.1.w.7 head.1.s.1.w.8,"   ","   "
WR-P-E-A-0000462641,belastingsschulden na 5 jaar kwijt gescholden.," . Fabiola doet alvast haar",duit in het zakje," . Paola ook . De",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.5 p.2.s.1.w.6 p.2.s.1.w.7 p.2.s.1.w.8,"   ","   "
WR-P-E-C-0000007686,De plannen van Klara," Maja Ratkje doet ook haar",duit in het zakje," . WOENSDAG 20/07 20.00 Podium",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.4.w.6 p.5.s.4.w.7 p.5.s.4.w.8 p.5.s.4.w.9,"   ","   "
WR-P-E-C-0000013687,RadioVisie Awards en we tellen voort (af)," reeksen doet ook RadioVisie zijn",duit in het zakje," . Sinds enkele weken zijn",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.13 p.1.s.1.w.14 p.1.s.1.w.15 p.1.s.1.w.16,"   ","   "
WR-P-E-C-0000006498,Op weg naar het beeld (12)," Ardenne allen deden ze hun",duit in het zakje," . Toch was er één",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.3.w.26 p.2.s.3.w.27 p.2.s.3.w.28 p.2.s.3.w.29,"   ","   "
WR-P-E-C-0000017593,"Gloednieuw seizoen: Miss België, achter de schermen"," ook dit jaar weer zijn",duit in het zakje," . In Antwerpen tenslotte is",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.14.w.11 p.1.s.14.w.12 p.1.s.14.w.13 p.1.s.14.w.14,"   ","   "
WR-P-E-G-0000009777,Subtitles for Panorama - Waarom Michael Jackso," .. .. doen buitenstaanders hun",duit in het zakje," . Het wachten duurt langer",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.188.s.1.w.16 p.188.s.1.w.17 p.188.s.1.w.18 p.188.s.1.w.19,"   ","   "
WR-P-E-G-0000000795,Subtitles for FC De Kampioenen (77) - American," . En ik doe mijn",duit in het zakje," hé . Ik organiseer een",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.117.s.1.w.5 p.117.s.1.w.6 p.117.s.1.w.7 p.117.s.1.w.8,"   ","   "
WR-P-E-G-0000004720,Subtitles for Alles voor de show (8)," Ook de sportdienst deed z'n",duit in het zakje," voor verkeersveiligheid . RIK DE",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.54.s.1.w.6 p.54.s.1.w.7 p.54.s.1.w.8 p.54.s.1.w.9,"   ","   "
WR-P-E-A-0000412727,Overheid moet fitnessen subsidiëren?," de medische wereld een grote",duit in het zakje," doet . Het is wel",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.27 p.1.s.1.w.28 p.1.s.1.w.29 p.1.s.1.w.30,"   ","   "
WR-P-E-A-0000563700,Moet België een intitiatief nemen om in Congo voedselproductie te promoten?," nog profiteren maar eens hun",duit in het zakje," doen . George Forrest kan",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.1.w.29 p.3.s.1.w.30 p.3.s.1.w.31 p.3.s.1.w.32,"   ","   "
WR-P-E-A-0000563700,Moet België een intitiatief nemen om in Congo voedselproductie te promoten?," Forrest kan ook een flinke",duit in het zakje," doen ... En dan wegjagen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.1.w.7 p.4.s.1.w.8 p.4.s.1.w.9 p.4.s.1.w.10,"   ","   "
WR-P-E-A-0004395765,In andermans schoenen lopen.," zonder dat de normen-maffia een",duit in het zakje," doet . ",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.9.s.1.w.22 p.9.s.1.w.23 p.9.s.1.w.24 p.9.s.1.w.25,"   ","   "
WR-P-E-A-0000462654,belastingsschulden na 5 jaar kwijt gescholden.," . Fabiola doet alvast haar",duit in het zakje," . Paola ook . De",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.5 p.2.s.1.w.6 p.2.s.1.w.7 p.2.s.1.w.8,"   ","   "
WR-P-E-A-0000198077,Unspecified," ik ook wel eens mijn",duit in het zakje," wil doen en al degenen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.2.w.9 p.2.s.2.w.10 p.2.s.2.w.11 p.2.s.2.w.12,"   ","   "
WR-P-E-A-0000906803,SP.a-congres (Visie08)," snel staan springen om een",duit in het zakje," van de manama's te doen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.2.w.12 p.4.s.2.w.13 p.4.s.2.w.14 p.4.s.2.w.15,"   ","   "
WR-P-E-A-0000818449,Chantage Bellens is een schande," als goede CEO ook zijn",duit in het zakje," doet . Of anders een",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.2.w.24 p.4.s.2.w.25 p.4.s.2.w.26 p.4.s.2.w.27,"   ","   "
WR-P-E-A-0000581573,Why Marx matters," , de kapitalisten ook een",duit in het zakje," te doen . Wat jij",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.27.s.1.w.19 p.27.s.1.w.20 p.27.s.1.w.21 p.27.s.1.w.22,"   ","   "
WR-P-E-A-0000862080,Manifest der Lage Landen," ook de televisie doet een",duit in het zakje," . Het is in mijn",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.4.w.13 p.1.s.4.w.14 p.1.s.4.w.15 p.1.s.4.w.16,"   ","   "
WR-P-E-A-0005827816,"Pilar (pas op, erg lang :))"," dat de hormonenschommelingen een flinke",duit in het zakje," doen qua ontwikkeling van een",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.8.w.13 p.5.s.8.w.14 p.5.s.8.w.15 p.5.s.8.w.16,"   ","   "
WR-P-E-A-0000605710,Bijen-crisis in Europa: pesticide de schuld - geen lachertje," , doe aub ook uw",duit in het zakje," om de bij te sparen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.11 p.1.s.1.w.12 p.1.s.1.w.13 p.1.s.1.w.14,"   ","   "
WR-P-E-A-0000897597,Bertje gaat bleiten bij de rechter.," waarbij alle betrokken partijen een",duit in de zak," doen , om een eerste",duit in de zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.2.w.12 p.4.s.2.w.13 p.4.s.2.w.14 p.4.s.2.w.15,"   ","   "
WR-P-E-A-0000039552,MUSIC FOR LIVE," LIVE Ook TMF wil een",duit in het zakje," doen . Doe mee en",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.5 p.1.s.1.w.6 p.1.s.1.w.7 p.1.s.1.w.8,"   ","   "
WR-P-E-A-0004651425,Willen = kunnen," <p> <p> Om ook een",duit in het zakje," te doen : ik heb",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.2.w.6 p.1.s.2.w.7 p.1.s.2.w.8 p.1.s.2.w.9,"   ","   "
WR-P-E-A-0006485288,Nog een duit in het zakje,Nog een,duit in het zakje," Hoewel alles eigenlijk al gezegd",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",head.1.s.1.w.3 head.1.s.1.w.4 head.1.s.1.w.5 head.1.s.1.w.6,"   ","   "
WR-P-E-A-0000563698,Moet België een intitiatief nemen om in Congo voedselproductie te promoten?," nog profiteren maar eens hun",duit in het zakje," doen . ",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.1.w.29 p.5.s.1.w.30 p.5.s.1.w.31 p.5.s.1.w.32,"   ","   "
WR-P-E-A-0004909094,Ook en duit in het zakje doen,Ook en,duit in het zakje," doen Ook onze verlegen kleuter",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",head.1.s.1.w.3 head.1.s.1.w.4 head.1.s.1.w.5 head.1.s.1.w.6,"   ","   "
WR-P-E-A-0000019365,Re: zeebeving: geldinzamelingen..?," politiekers+die hardwerkende mensen eens een",duit in het zakje," zouden doen ? ",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.14 p.1.s.1.w.15 p.1.s.1.w.16 p.1.s.1.w.17,"   ","   "
WR-P-E-A-0000013502,Re: Zou jij donor willen zijn?," wel dat ze een serieuze",duit in het zakje," moeten doen om m\'n brein",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.1.w.9 p.5.s.1.w.10 p.5.s.1.w.11 p.5.s.1.w.12,"   ","   "
WR-P-E-A-0006331948,Wat en gezellige boel!," dus nu doet hij zijn",duit in het zakje," . En daarbij vind hij",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.6.w.31 p.3.s.6.w.32 p.3.s.6.w.33 p.3.s.6.w.34,"   ","   "
WR-P-E-A-0000412725,Overheid moet fitnessen subsidiëren?," de medische wereld een grote",duit in het zakje," doet . Het is wel",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.27 p.2.s.1.w.28 p.2.s.1.w.29 p.2.s.1.w.30,"   ","   "
WR-P-E-A-0004446235,Ff reageren," toch ook nog ff mijn",duit in het zakje," doen . Ik ben een",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.11 p.1.s.1.w.12 p.1.s.1.w.13 p.1.s.1.w.14,"   ","   "
WR-P-E-A-0000773765,Culturele xenofobie en socio-economische xenofobie ten top.," hoop dat ik ook mijn",duit in het zakje," kan doen . Dank u",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.2.w.7 p.4.s.2.w.8 p.4.s.2.w.9 p.4.s.2.w.10,"   ","   "
WR-P-E-A-0005378098,Ook een duit in het zakje,Ook een,duit in het zakje," Maxima is altijd al in",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",head.1.s.1.w.3 head.1.s.1.w.4 head.1.s.1.w.5 head.1.s.1.w.6,"   ","   "
WR-P-E-G-0000005916,Subtitles for Histories - Atlantikwall," Terrier en zijn kameraden hun",duit in het zakje," . Niet alle Duitse soldaten",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.100.s.1.w.11 p.100.s.1.w.12 p.100.s.1.w.13 p.100.s.1.w.14,"   ","   "
WR-P-E-H-0000000071,"19uurjournaal, unknown"," dat bij besparingen iedereen zijn",duit in het zakje," moet doen . Dan is",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.158.w.10 p.1.s.158.w.11 p.1.s.158.w.12 p.1.s.158.w.13,"   ","   "
WR-P-E-H-0000000009,"19uurjournaal, Martine Tanghe"," ook van het personeel een",duit in het zakje," willen zien . Ze zouden",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.170.w.9 p.1.s.170.w.10 p.1.s.170.w.11 p.1.s.170.w.12,"   ","   "
WR-P-E-H-0000000050,"19uurjournaal, Martine Tanghe"," . Ook Hoho doet zijn",duit in het zakje," . De 21-jarige Maaseikenaar speelt",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.388.w.5 p.1.s.388.w.6 p.1.s.388.w.7 p.1.s.388.w.8,"   ","   "
