regen	drup
wal	sloot
hol	leeuw
been	grond
kat	spek
duit	zak
hoofd	hol
leven	brouwerij
boter	vis
spek	bonen
water	wijn
water	zee
duivel	biecht
kip	stok
maas	net
handdoek	ring
kont	krib
geld	balk
kind	badwater
olie	vuur
parel	zwijn
roet	eten
kop	wind
druk	ketel
onderste	kan
boter	hoofd
aal	staart
appel	dorst
bord	kop
gat	hoofd
gat	hand
stok	deur
stuk	kraag
vinger	pap
brood	plank
geld	zak
haar	tand
heft	hand
pap	neem
schaap	droog
hand	knip
vinger	pols
oog	zeil
slag	arm
hoofd	water
voet	stuk
gezicht	plooi
kat	boom
oor	hoofd
kat	zak
appel	ei
ei	geld
baard	keel
kous	kop
hoofd	boei
veeg	pan
poot	grond
deksel	neus
waar	geld
oog	naald
aap	mouw
kink	kabel
boer	kiespijn
god	frankrijk
hand	tand
vinger	plek
vuur	scheen
slak	zout
neus	wind
ziel	arm
vuur	slof
been	lijf
pas	plaats
mug	olifant
luis	pels
blad	mond
wind	zeil
koe	kalf
bok	schaap
long	lijf
adder	gras
vlag	wimpel
spijker	kop
spijker	kop
vlieg	klap
paard	wagen
gat	lucht
hak	tak
hart	riem
kop	zand
vuur	vlam
rug	muur
zout	wond
advocaat	duivel
ster	hemel
koe	hoorn
knol	citroen
blok	slaap
deur	huis
neus	boter
wal	schip
daad	woord
hond	pot
hemd	lijf
hek	dam
held	sok
vogel	kat
gesprek	dag
kind	rekening
hoofd	wolk
vel	been
neus	feit
zout	wond
boom	bos
zool	schoen
zak	as
neus	boek
water	brood
boel	stelt
deur	kier
kogel	kerk
hart	keel
kaas	brood
schrik	hart
water	lip
water	mond
bloed	water
eten	mond
hand	haar
brood	mond
